Date,Open,High,Low,Close,Adj Close,Volume
2021-10-01,17531.900391,17557.150391,17452.900391,17532.050781,17532.050781,305800
2021-10-04,17615.550781,17750.900391,17581.349609,17691.250000,17691.250000,295800
2021-10-05,17661.349609,17833.449219,17640.900391,17822.300781,17822.300781,427000
2021-10-06,17861.500000,17884.599609,17613.150391,17646.000000,17646.000000,395800
2021-10-07,17810.550781,17857.550781,17763.800781,17790.349609,17790.349609,419900
2021-10-08,17886.849609,17941.849609,17840.349609,17895.199219,17895.199219,324100
2021-10-11,17867.550781,18041.949219,17839.099609,17945.949219,17945.949219,375800
2021-10-12,17915.800781,18008.650391,17864.949219,17991.949219,17991.949219,355600
2021-10-13,18097.849609,18197.800781,18050.750000,18161.750000,18161.750000,506700
2021-10-14,18272.849609,18350.750000,18248.699219,18338.550781,18338.550781,538700
2021-10-18,18500.099609,18543.150391,18445.300781,18477.050781,18477.050781,469900
2021-10-19,18602.349609,18604.449219,18377.699219,18418.750000,18418.750000,368200
2021-10-20,18439.900391,18458.300781,18209.349609,18266.599609,18266.599609,371300
2021-10-21,18382.699219,18384.199219,18048.000000,18178.099609,18178.099609,365900
2021-10-22,18230.699219,18314.250000,18034.349609,18114.900391,18114.900391,324700
2021-10-25,18229.500000,18241.400391,17968.500000,18125.400391,18125.400391,418700
2021-10-26,18154.500000,18310.449219,18099.300781,18268.400391,18268.400391,341400
2021-10-27,18295.849609,18342.050781,18167.900391,18210.949219,18210.949219,335200
